Text,Biased
omer_c ever notice how its always the antizionists who conflate diaspora jews with israel must be a coincidence,non-antisemitic
realmattcouch islamic philosophy hates christians and jews ,non-antisemitic
this would be silly if it wasnt the president of the united states transparently trying to convince jews to vote� httpstcouosawcfck,non-antisemitic
care to comment about the attack on jews that happened tonight in the country where you are an elected official httpstcogqyjuexjm,non-antisemitic
ndamendmentx tangerineorchid if it was left up to the jews they or the ones that help steal everything from blac� httpstcoqgrdvse,antisemitic
"this is new york at the moment

notice that not even one of the perpetrators attacking random jews is a white supremacist

so stop blaming realdonaldtrump because they all are ilhanmn rashidatlaib and aoc fans

fact the real threat to jews comes from the left httpstcobfwuwpaasl",non-antisemitic
"rt larryelder be warned democrats in the uk jews once overwhelmingly supported the labour party but because of that party�s growing  antisemitism jews have abandoned it 

where�s the jewish blexit from the democrat party

democratantisemitism 

jewishblexit httpstcongkfhvgblm",non-antisemitic
rt ohnoshetwitnt psa to jews the only correct response when someone tells you �you don�t look jewish� is �you don�t look antisemitic�,non-antisemitic
rationalsettler �the murder of jews is the ultimate honor� a known hitlerian slogan proudly in use by the palest� httpstcoeealwfxz,non-antisemitic
"do you oppose the jewish agenda for your country you are now considered a terrorist

jews have distracted us by p� httpstcoivefklxvj",antisemitic
madam jewsorthodox catholicsmuslims all have purity notion in good habitsme think they do not have caste� httpstcoszvusxob,non-antisemitic
rt peterbeinart calling antizionism antisemitism doesnt protect jews it silences palestinians httpstcocvordnxhm httpstcogqjkvijhna,antisemitic
"twitter how do you want us to improve our platform

muslims get rid of nazis

jews get rid of nazis

women get� httpstcokmhsabjtzm",non-antisemitic
sirens wailed and israelis came to a standstill for a twominute moment of silence to remember the  million jews k� httpstcojudkilgt,non-antisemitic
rt ikebarinholtz i talked to the other jews and yep we still hate your pig ass httpstcohybszmou,non-antisemitic
if jews in the uk want to get upset about anything their focus shouldn�t be on lifelong human rights campaigner� httpstcogmecvvjkd,non-antisemitic
drronmalka isro you jews using indian very well we know your whole story,antisemitic
"the holocaust was legal slavery was legal segregation was legal

people who hid jews in their homes were crimina� httpstcouwxolnsmf",non-antisemitic
"jews are being stabbed shot beaten and harassed in new york virtually everyday and y�all are seriously entertaining the thought that maybe it�s the jews� fault 

antisemitism is not just the physical act of harming jews but the philosophy that enables it",non-antisemitic
"rt realcandaceo �to all my africanamerican friends that are blexiting please take two jews with you�  therealroseanne prageru

�",non-antisemitic
nytimes has a political editor tomwp who literally describes himself on twitter as antisemitic amp has slammed je� httpstcozhzmvin,non-antisemitic
senatorsinema you ain�t fooling nobody you could careless about israel jews christians or conservatives for tha� httpstcogowzihuxj,non-antisemitic
herbert_l_reed that should send a clear message to jews who still vote democrat when muslims take over america yo� httpstcotakbxd,non-antisemitic
there appears to have been a mass stabbing of jews in synagogue tonight after shabbat in monsey new york according to initial reports httpstcojhohmycqfv,non-antisemitic
breaking jews blocking entrance to elizabeth concentration camp in new jersey arrests imminent jewsagainstice httpstcoptqnvznzr,non-antisemitic
littlebigmouth jews are a sociable bunch,non-antisemitic
tomhfh you refused to say it on air more importantly youre a huge danger to jews around the world with your vin� httpstcojowwwvveu,non-antisemitic
hes trying to demoralise not just jews such as myself but all of our many wellwishers at the expense of the left for the pettiest of political advantages given hes a libdem whichever percent votes labour will not contain the most antisemitic elements of the population,non-antisemitic
"happy holidays here�s an actual headline to a real article about something that totally happened

pastor who says jews are going to hell speaks at trumps hanukkah party httpstcomglkuziqs",non-antisemitic
american jews who care about democracy will never support this unjust government netanyahu is a disgrace to israel� httpstcoddplrvnd,non-antisemitic
"litzmannstadt ghetto 

so called kontyngent a quota
germans wanted to get eg jews ship to death camp
k� httpstcohvyvzaacoh",non-antisemitic
mediaite thanerosenbaum congratulations sir you are right on target  jews should beware of the virulent jewha� httpstcotkzimmvj,non-antisemitic
in  antisemite louis farrakhan said false jews promote the filth of hollywood that is seeding the american� httpstcobgygxm,non-antisemitic
"salsabilaatt your loony

there is no distinction of innocent civilians

in ww did jews shoot random germans to� httpstcoyehknoul",non-antisemitic
absolutely right no jews voted for chief rabbi mirvis it is an unelected position he speaks only for himself not� httpstcokyzuwbyyr,non-antisemitic
pretty wild that we�re all promoting our comedy shows on the same website conservatives are using to make lists of� httpstcobluvgtqfqw,non-antisemitic
a nativity scene without jews arabs africans or refugees httpstcoailbfmeu,non-antisemitic
malkhalil harmlessyarddog jews huh,non-antisemitic
"tonight begins yom hashoah when we mourn and remember the more than six million jews killed in the holocaust 

as� httpstcopkzruetkhi",non-antisemitic
i reject your fake stand with israel as you stand against american jews you stayed silent after charlottsville yo� httpstcotuffhduk,non-antisemitic
whats difference between dollars and jews id give a fuck if i lost  million dollars,antisemitic
the progressive left and altright are tweeting almost the exact same things to me about dastardly jews today so i� httpstcojizggjqeq,non-antisemitic
more bleeding heartstuffvabout gaza from jews not actually living in israelor on the gaza borderwhen are jews i� httpstcoodwxniyt,non-antisemitic
one reason nonjews should care about antisemitism is that it tends to expose people whose minds quite literally are not operating in reality because they are paranoid and cant make sense of the world they make for dangerous and incompetent political leaders httpstcoyidocidb,non-antisemitic
"realdonaldtrump trump the �white supremacist�

� st golf club owner in palm beach to allow blacks amp jews 
� has� httpstcospfxhxezzi",non-antisemitic
waterpalestine sdgmasterglass jews with their you can�t say i�m a jew just because i�m a jew i�ll have you jailed� httpstcowaynobvzu,antisemitic
"we are not responsible for netnyahu and co the zionists 

we have nothing with them 

jews as a whole should n� httpstcodyrfaix",non-antisemitic
js_newswatch very misguided people who are fooled by the lies of the left the very people who hate the jews,non-antisemitic
"okay

now boris johnson is openly comparing the uks eu membership to the enslavement of the jews

he went beyond� httpstcormwgyigmra",non-antisemitic
jews deported to auschwitz for extermination were given the illusion of hope they were told about resettlement n� httpstcofuwptvjl,non-antisemitic
the beginning involved language that dehumanized jews and other undesirables they were called dirty they were c� httpstcodonoyye,non-antisemitic
american jews have a choice to make today we can stand unequivocally and proudly with ilhan or we can let the ra� httpstcooiqotex,non-antisemitic
asked repeatedly if trump really thinks democrats hate jews sarah sanders refuses to answer  and when asked agai� httpstcowvijbwne,non-antisemitic
there are jews who never heard of muktzah but know the opinion of the shach that you cant learn kabalah until the� httpstcowhmffckwu,non-antisemitic
johncardillo speakerpelosi pelosi amp the democrat party hate jews amp israel just as much as ilhan does  thats why� httpstcoqvcjkhxumo,non-antisemitic
some frantz fanon for you lot acting as though labour�s defeat is some kind of victory for british jews as though all minoritizations aren�t tied up in empire�s religionational projects httpstcovoefldww,non-antisemitic
heres the emblem of the arab liberation army in mandatory palestine postholocaust just screams safe haven for j� httpstcomialgipejr,non-antisemitic
byfisted tfw israel will end up banning american jews from entering because of their well documented antisemitism� httpstcoaqbtvvtp,non-antisemitic
all jews blacks gays everyone and importantly he�s good for everyone in america who wants a job� wow� httpstcojykjfqmcdo,non-antisemitic
"natives were dehumanized to justify genocide 

africans were dehumanized to justify slavery 

jews were dehumanized� httpstconeygqpqh",non-antisemitic
jews boycott nyu it is a nazi school yesterday the commencement speaker called for israels destruction and hai� httpstcobjnigewhya,non-antisemitic
aleichemsalami cwnsti bariweiss jews in brooklyn are not being assaulted period,non-antisemitic
a israel was not created for the sole purpose of provide jews with a safe haven but to affirm our historical bond� httpstcopytjnexlj,non-antisemitic
rt younggoodmanbl yes sarsour�s still calling zionism creepy but when jews protested aftunion teacher head rweingarten used her official twitter account to call her a �warrior for justice� hey randi is aft officially antiisrael have you told your members that do they get a votealec_states httpstconaammggev,non-antisemitic
tulsigabbard this has kind of a jews for jesus vibe ya know just kind of incompatible,non-antisemitic
guys listen to how fucked up this vile white supremacist is it�s terrifying to hear him say jews are a �sub rac� httpstcojhzegozfdh,non-antisemitic
so what has kept the jewish people jewish and distinct torah pride  understanding that jews have a social role� httpstcoozpdtkjgb,non-antisemitic
you just had to back out of an event that had you speaking alongside a ussanctioned russian official who believes� httpstcounaxzitchj,non-antisemitic
during wwii the nazis forced victims in mass shootings to disrobe because officers complained that jews looked mor� httpstcocmofvdcwk,non-antisemitic
"warning from britain 

american jews must learn from britains mistakes

progressive wolves in sheeps clothing� httpstcosbcspafmj",non-antisemitic
realdonaldtrump neveragain means close the camps american jews protest ice amp detentionconcentration camps acr� httpstcoswfaccwd,non-antisemitic
"zionists use judaism to make israel look �jewish�

for the past  years jews never championed for sovereignty� httpstcocfumjp",non-antisemitic
rosieduffield mikekatz wrong kind of jews rosie,non-antisemitic
my heart aches for british jews and i wish there was more i could do to combat labour�s institutionalized antisemit� httpstcoinkzbdoye,non-antisemitic
rt haaretzcom trump king of israel makes us jews not only traitors but apostates too httpstconfyeqibzzg,non-antisemitic
akreana_ you have started nothing beats o jews keng,non-antisemitic
i am appalled that it�s passed as okay to just use �jews� when talking about war crimes in palestine the world pop� httpstcozhxgztqxux,non-antisemitic
they literally took chasidic jews into backroom courts and shot them for being jewish or sent them siberia for  y� httpstcoudmfgrufsb,non-antisemitic
trump is using the same immigration policy that once kept out jews fleeing nazi germany httpstcohevhaujl,non-antisemitic
"evil jews

when i think of alqaida i can hold my chest out� 

they call our country and our people garbage� httpstcorstrfrkiw",non-antisemitic
"does anyone find this idea of trump changing the nationality of millions of jews in this country to be as outrageously fascist as i do

i�m seriously afraid for this country if he does this

it�s not about bds it�s about singling out jews",non-antisemitic
jews that were expelled from nations across the middle east have been crucial in building and defending the jewish� httpstcoucnagnydu,non-antisemitic
the democrat party hates christians jews men white people southerners and the list goes on they accuse everyo� httpstcogqjwhhlb,non-antisemitic
"rt ingrahamangle democrats have abandoned israel jews should abandon democratic party

httpstcoakdfdftc",non-antisemitic
dear uklabour jews in this video do not recognise the state of israel on religious grounds  would labour party ex� httpstcoidaddmeg,non-antisemitic
"jerusalem is a city sacred to 
jews christians amp muslims 

hamas terrorists had a bomb ready planning to carry o� httpstcodcbezzm",non-antisemitic
"this is an antisemitic tweet equating all jews with israel�s brutal kidmurdering airforce

imagine if it said eq� httpstcopmbiuyjmy",antisemitic
i dont know how to put this more delicately but nonjews do not get to do this this issue is not yours this isn� httpstcoldyxlwk,non-antisemitic
rt ositanwanevu in the first decades of notre dames construction the jews were expelled from france httpstcomdvxwnpru,non-antisemitic
susan collins please dont pretend your cowardice in the face of trump has anything to do with protecting jews httpstcoafvzcnjkh,non-antisemitic
thedemcoalition ilhanmn realdonaldtrump why are they trying to sell this as unity between jews and muslims,non-antisemitic
j_trumpin jews  trump  but reality is all americans  trump ,non-antisemitic
baddata_ anthony do you have any conservatives like muslims christians or jews or any without religion actually� httpstcoyyyjllodg,non-antisemitic
susan collins please dont pretend your cowardice in the face of trump has anything to do with protecting jews httpstcoafvzcnjkh,non-antisemitic
campbellclaret glyn secker who recently called me a fifth columnist amp said jews were in the gutter with rats has� httpstcosnnmbksyp,non-antisemitic
"trans swimmers allowed to swim in hampstead heaths womens pond sparking protest from orthodox jews
httpstcobjdvwoiz",non-antisemitic
martindaubney i�ve never understood why there is this hatred of jews we don�t see them rioting on our streets ra� httpstcoylbqwda,non-antisemitic
historians have a word for germans who joined the nazi party not because they hated jews but in hope of patriotis� httpstcobgznbletw,non-antisemitic
sirens wailed and israelis came to a standstill for a twominute moment of silence to remember the  million jews k� httpstcolzsjccess,non-antisemitic
download pdf the jews of africa  gt httpstcogebau,non-antisemitic
paul nehlen is a white supremacist who wants to remove jews from the us and wears a tshirt celebrating the tree� httpstcopmdzykt,non-antisemitic
very angry just spoke to govenor netenyahoo of israel i told him that i think of myself as the king of the jews� httpstcoirpcwobkuw,non-antisemitic
darth_andrew davidmdrucker  of jews voted democratic thank you next,non-antisemitic
jerusalem_post so jews like bernie sanders harvey weinstein and woody allan gave bad impressions of jews to many� httpstconoobwnva,non-antisemitic
wow just wow this is a jeremycorbyn fan telling jews to put their �heads in the ovens� this is utterly blody sic� httpstcocmndlweh,non-antisemitic
catch a labour member refer to the al jazeera �lobby� doc turn to me and say �one of your people� ie jews on l� httpstcotzlacng,non-antisemitic
rt chick_in_kiev using jews as human shields for this type of geopolitical statement is gross httpstcovjmmwqf,non-antisemitic
if increasing police presence doesn�t actually preventreduce hate crimes or increase the safety of jews targeted but it does place black people at increased risk of police violence racialized overpolicing etc the only people who benefit from this response are politicians,non-antisemitic
of course for jews who are not believers in jesus the day is a date like any other but for jewish believers yes� httpstcopztfhwfzul,non-antisemitic
j_oshhill and hates jews diminished what happens on  wants socialism open border universal health caren� httpstcozvifvcptk,non-antisemitic
gnasherjew facebook they need to decide if the talmudic jews are good or bad those antisemites confuse me one d� httpstcobrxeilzow,non-antisemitic
jackposobiec you mean besides hating jews and israel,non-antisemitic
the jews say ezra is the son of allah and the christians say the messiah is the son of allah that is their s� httpstcowaeudnf,antisemitic
donald trump the odd link between american jews and the altright  httpstcoqxiwxktivy via myfairobserver,non-antisemitic
"rt benktallmadge during ww the muslim brotherhood fought alongside with the nazis against jews

httpstcoltgdbwhv",non-antisemitic
"trump supporters trump isn�t antisemitic

jews trump is antisemitic

trump no i�m not you stupid disloyal jews� httpstcotqonlyii",non-antisemitic
ggreenwald true  who would lump someone like you glenn or other jews like miko peled finkelstein et al who o� httpstcoheqtitmc,non-antisemitic
muslim imam in tennessee preaches �jews and christians are filthy their lives and property can be taken in jihad b� httpstcotbjzofmzr,non-antisemitic
" years ago europe exterminated its jews in systematic genocide
 years ago arab states ethnically cleansed � httpstconqbuzoif",non-antisemitic
mtracey from native americans to jews to blacks to whites when has america not been about identity politics,non-antisemitic
if you watch  jewish speaker hear  account of how the excluding  of jews from �progressive� discourse has reache� httpstcohnqhcxsht,non-antisemitic
trump�s pick to lead climate panel once compared co to jews in nazi germany httpstcomcfbhtb,non-antisemitic
aoc are you talking about the  that are racist against jews and all the ppl that dont think like them elaborate on that instead,non-antisemitic
are jews white sometimes but if you dont think white privilege is operating here imagine if malia obama had con� httpstcoyyhamkil,non-antisemitic
jolyonmaugham throwing the jews underthebus,non-antisemitic
uk labor leader says israel amp jews are the source of global terrorism not islam httpstcojpzkxpo,non-antisemitic
"warning from britain 

american jews must learn from britains mistakes

progressive wolves in sheeps clothing� httpstcosbcspafmj",non-antisemitic
annikaskywalker were days away from what even are jews jared keeps trying to tell me about it,non-antisemitic
rt mollyjongfast i�m going to go out a limb here and postulate that stephen miller is bad for the jews,non-antisemitic
rt avigayiln this feels like a centrist older jew take but yes you really do have to mention jews in your holocaust tweet,non-antisemitic
"rt silver_fox says the person who wants the destruction of israel and the jews
some love you are spewing httpstcocpeegg",non-antisemitic
jews weren�t getting their asses kicked on the streets of nyc on rudygiuliani�s watch that�s happening on your watch you worthless piece of garbage httpstcozzqqooessf,non-antisemitic
its a disgrace that a muslim congresswoman can say anything she pleases about jews and when someone criticizes her� httpstcodtrfjbbon,non-antisemitic
the israelis and to be sure many diaspora jews know exactly what to weaponize when they want to win the debate former israeli minister shulamit aloni once explained how it is done �antisemitic���it�s a trick we always use it� httpstcomnvuevpht,antisemitic
joenbc sharpton has never publicly apologized for inciting race riots against jews in crown heights which led to� httpstcowqjbrhkeg,non-antisemitic
more precisely bowers attacked a synagogue because he believed that jews led by financiers such as george soros� httpstcofivyafmz,non-antisemitic
"tlaib ally calls for worldwide murder of jews
httpstconpqgyrtn",non-antisemitic
"northwestunison 
jewish letter of support for jeremy corbyn
rabbinical executive of united european jews write to� httpstcoynebniyk",non-antisemitic
how convenient for you that british jews seem to represent only people of your ilk amp not those countless voices t� httpstcojfzoae,non-antisemitic
abc mac_daddy fucking jews man,antisemitic
"i am jewish like many jews i support corbyn sadly the media ignores us

it is true that many in the jewish commu� httpstcorapmktjqx",non-antisemitic
"all my fellow patriots please take this poll and retweet it is showing that  of jews are behind the problems we face in the us today while democrats are polling at  
lets flip this poll to reveal the truth httpstcoeeivwezzf",non-antisemitic
"the very same conspiracy theory motivated both the pittsburgh massacre of jews and the christchurch massacre of muslims 

i explain why antijewish and antimuslim conspiracism is deadly and cannot be untangled 

if we dont stand against it we face a grim future httpstcoroubqeib",non-antisemitic
jews created a path holding signs of solidarity outside a mosque entryway in new york so when muslims walked throug� httpstcoxxxihuhmtm,non-antisemitic
pual do you know that the country of egypt has more jews than the plp our shadow cabinet does not have any,non-antisemitic
friedrich asked �can you imagine someone saying that about kristallnacht the first nazi pogrom against the jews�� httpstcowlsvpx,non-antisemitic
welcome to european antisemitism  weve been dealing wthis here while everyone is discrediting jews in us i h� httpstcoyqzkoyc,non-antisemitic
rt israellycool because demonizing israel and the jews is far too important to let the truth get in the way httpstcojzeawwrbch,non-antisemitic
"�aoc why do you stand with people who openly support hamas the women�s man hatred march hates jews� laura loomer video httpstcogoriyzgii

plz  laura loomer for congress

retweet to share please",non-antisemitic
"lovejoy suefew justjewsuk jcollaro this what the torah jews says 
 httpstcokwsxjea",non-antisemitic
skynews jeremycorbyn �we love and support the jews oh wait don�t take my photo until i remove the incriminating� httpstcoayysknhpsm,non-antisemitic
i have been pretty polite about this and so have other american jews but you really have to leave us out of your r� httpstcoiqwburzcr,non-antisemitic
if the arabs lay down their arms there�s no more war if the jews lay down their arms there�s no more israel httpstcolpfrgydw,non-antisemitic
harveystaub american jews do not know or could not care less of the chaos obama has created in the middle east by� httpstcobrizhlwlog,non-antisemitic
" th century europe
�jews are racially impure and must leave aryan lands�

�

 st century europe
�jews are� httpstcoorzvzig",non-antisemitic
"rt gossgoss trump isnt the chosen one he is not the king of the jews he is a crazy asshole

thamendmentnow",non-antisemitic
"i am a muslim
christians kill me in iraq
buddhist kill me in burma
jews kill me in palestine
hindus  kill me in� httpstcoguncevmvt",antisemitic
 of white evangelicals support president trump and israeli�s leadership policies  of american jews oppose pr� httpstcoiirtjcomj,non-antisemitic
yes they gave the jews three  slivers    desert but the jews made the desert bloom infuriating the arab racis� httpstcoaezqbcfsy,non-antisemitic
funny how we did this with open arms for the irish italians and jews but as soon as their skin color turned brown� httpstcoucdgyg,non-antisemitic
"jews must leave france while they still can

prosecutors drop murder charges against islamic terrorist who slaughtered a jewish woman while screaming �allah akbar� ��dirty jew�

macrons govt claims the jihadi has a psychotic episode smoking cannabis
httpstcofdiqkf httpstcogrviloq",non-antisemitic
"jews in nyc face this hatred daily at the hands of radical blacks who are culturally and institutionally taught to hate jews from childhood 

i saw it as a cop 

this is the root cause of those antisemitic attacks that deblasio refuses to acknowledge

 httpstcozpmwyzox",non-antisemitic
to all the kids that walked out of school to protest guns these are the shoes of jews that gave up their firearms� httpstcooljoaikwun,non-antisemitic
"attack on jews in ny yesterday an attack on christians today the ds is in panic mode with the truth coming out watch for more of this this church shooting could have been worse if a good guy with a gun hadnt stepped in  ndamendment
httpstcoxwqbmwjh",non-antisemitic
johnrlottjr ericswalwell nra everytown from  onward jews were targeted for deportation and by war�s end h� httpstcoxcmigqoe,non-antisemitic
"regarding the �disloyal jews� comment

jew here

donnie it appears you want my vote

just a fyi most of us w� httpstcoxirionjj",non-antisemitic
"in one day trump calls himself

 king of israel
 nd coming of god
 the chosen one

then condemns jews tha� httpstcoshltbdtdbm",non-antisemitic
say it with me black people dont cause racism muslims dont cause islamophobia jews dont cause antisemitism� httpstcoydhxsapzl,non-antisemitic
german official warns jews not to wear yarmulkes in public amid spike in hate crimes    httpstcoicoard,non-antisemitic
"why is rashidatlaib attacking jews 

i know the answer but i  can�t say what i want to  so let me hear your replies  httpstcordpcbnpu",non-antisemitic
interview  kacou philippe prophet of the jews english version vf complet� httpstcoabybluut the full mes� httpstcoogbzbiggqw,non-antisemitic
 the nazi amp muslim alliance against the jews the muslim brotherhood was founded in egypt in clarionproject� httpstcozvpgvaenx,non-antisemitic
imam whose prayer opened congress as koran states �deceitful� jews are apes and pigs httpstcoyaycugr via� httpstcoypbliowu,non-antisemitic
sunday is holocaust remembrance day a day for us to remember the six million jews that were murdered and commit t� httpstcownporzoawq,non-antisemitic
how come judgejeanine gets into trouble for speaking against sharia law but ilhanomar can speak against jews and remain in congress,non-antisemitic
rt pspoole these stories of jews getting attacked in brooklyn not getting widely covered is not a case of the wrong victims but of the perpetrators who are inconvenient to an establishment media narrative httpstcozngoqfhilj,non-antisemitic
fox guest on the rise of antisemitism since the election of trump jews will not replace us was the chant in ch� httpstcoofawhz,non-antisemitic
reminder jews were not able to import weapons settlements relied mainly on shotguns provided by the mandate brits� httpstcovpyucfyyq,non-antisemitic
most jews are democrats it was jewish protestors who just got driven into by an ice guard it was trump who inspir� httpstcodkszfsqyx,non-antisemitic
in  during the second intifada jews in israel took over the palestinian news channels and beamed hardcore porn� httpstcomwslvey,non-antisemitic
dianabuttu palestinian didnt exist before israel was given to the jews after wwii by the previous owners the bri� httpstcoxooopufbjl,non-antisemitic
"messenger of allah  said

 let there be curse of allah upon the jews and the christians for they have taken the� httpstcopepemlqx",antisemitic
arielelysegold all jews need to come together and demand ilhan omars removal from the foreign affairs committee,non-antisemitic
diaphrog i look forward to seeing protests against companies owned by muslims or jews as neither of those religio� httpstcoyahbxyqfl,non-antisemitic
"the false distinction between antisemitism amp antizionism
�jews are struggling to convince progressives that their� httpstcoophpiyro",non-antisemitic
germans in the s were groomed to accept the extermination of jews by exactly the sort of lies and hate propagan� httpstcobisgbmklmm,non-antisemitic
"pm chedetofficial defends right to free speech over comments on jews

jabatanpenerangan
sayangimalaysiaku� httpstcowiqkqvzew",non-antisemitic
"imagine hating jews that much
no israeli flagjewish star on flagstar of davidany jewish symbol was displayed ne� httpstcosfyuxjuw",non-antisemitic
repleezeldin trump called jews who dont support him disloyal just like the nazis called jews disloyal to the reich,non-antisemitic
�deadly exchange� it�s time to speak out against antizionists who seek to turn blacks against jews httpstcoriuiiafz via leginsurrection httpstcocpamddo,non-antisemitic
the left against memorial day zion and the jews by dominic green httpstcocvdajmkwh via newcriterion,non-antisemitic
 years ago the hitler movement launched the mass extermination of european jews  years later germanys fm� httpstcobjcdubmav,non-antisemitic
worldchildrensday a heartbreaking moment in an ss picture of hungarian jews near gas chamber iv at auschwitz ii� httpstcoqdbpspvuw,non-antisemitic
i�m tired of white men who actually hate jews attacking ilhanmn because she is against proisrael lobbyists who ar� httpstconvmggy,non-antisemitic
volkskrant in europe incl ukraine there were  million jewsthe official figures  jews in europe exc� httpstcowjrrzmsley,antisemitic
northbelle remnantofisrae kastacherkim hananyanaftali of whom jews in israel know he is,non-antisemitic
dlvr thinker liberal actor john cusack steps in it again this time on israel and jews httpstcopjifonbr trum� httpstcosxzvlgdy,non-antisemitic
ted i�m sitting next to realcandaceo right now i can confirm she is against the mass murder of germany�s jews an� httpstcoviytpigmz,non-antisemitic
they�ve murdered young socialists in norway muslims in christchurch and finsbury park jews in pittsburgh and powa� httpstcogdvhbcim,non-antisemitic
"watch the last few sentences when soros worked as a nazi taking property away from jews where
george soros says starting with 
�well what�s funny is� cabr�n httpstcocldfzulj",antisemitic
reminding us that there is a conversation going on telling us that leftwing jews arent really jews my parents we� httpstcounvazgtu,non-antisemitic
somalianfacts ilhanmn is there something unfair about this maybe it is just that jews are capable and civic mind� httpstcocsccgu,non-antisemitic
"nypdnews
this is not legal so why are u allowing it
would you allow christians jews or buddhists to police ne� httpstcoojxwykair",non-antisemitic
on yom hashoa weremember the  million jews and millions of others who were murdered in the holocaust we honor t� httpstcojaqycnaxq,non-antisemitic
th only difference between today and pre is that jews can defend themselves and thats what upsets them the most fin,non-antisemitic
stephen millers white nationalist politics are infinitely more dangerous for american jews than anything ilhan oma� httpstcorxtjtanb,non-antisemitic
i as an american jew who has friends that are american jews we will walk on hot coals on our knees to vote trump o� httpstcowmnigaiyqj,non-antisemitic
msavaarmstrong realjameswoods im not a jew but the jews are gods chosen people therefore i stand with the jewish peoplealways,non-antisemitic
well one was fighting for a society that committed genocide against jews amp the other for a society that committed� httpstcoblknsqgeu,non-antisemitic
"stop attacking black jews

black jews are a part of our jewish community

black jews are not responsible for what happened in jersey city

black jews are not black hebrew israelites

black jews are in mourning too

our jewish community is only safe when black jews are too",non-antisemitic
but after two years porcius festus came into felix room and felix willing to shew the jews a pleasure left pau� httpstcojetkud,non-antisemitic
is there any chance that the liberal media could stop referring to orthodox muslims jews and christians as �fundam� httpstcowkfppfjju,non-antisemitic
armyofnone swerdlick she hates jews as all good brainwashed muslims do that�s hate sitting in congress but i�m with you kuato,non-antisemitic
stuttgart courier condemns unsuitable compassion for jews german newspaper reports that some passengers on tram� httpstcoypxmhmau,non-antisemitic
"so far today donald trump has attacked

 jews
 denmark
 rashida tlaib
 anthony scaramucci

donald trump still� httpstcowyiakw",non-antisemitic
imraansiddiqi sableviews right wing evangelicals care nothing of jews they only care for the existence of israel� httpstconzifjtjyu,non-antisemitic
"last night on the streets of london british jews were racially abused by a mob of uklabour supporters

the footage is terrifying watch it
if this were any other minority group  the racists would be considered nazis

so why are you treating racism against jews differently",non-antisemitic
"there are a lot of people telling jews that our instincts are wrong about being redefined as a nation that it�s just a wee technical issue meant to punish propalestinian speech and to untangle our knickers that trump is helping us 

counterpoint history",non-antisemitic
wo unto the jews were a free people,non-antisemitic
sunday is holocaust remembrance day a day for us to remember the six million jews that were murdered and commit t� httpstcownporzoawq,non-antisemitic
"  christians killed in church sri lanka
  jews killed in synagogue pittsburgh
  muslims killed in mosque ch� httpstcoxkyrgdbf",non-antisemitic
edroso remember when hitler made the jews read heather has two mommies to all the polish children this is sort of like that,non-antisemitic
�first they came for the socialists and i did not speak out�because i was not a socialistthen they came for the� httpstcowgczadji,non-antisemitic
"rt ilhanmn hi realdonaldtrump 

you have trafficked in hate your whole life�against jews muslims indigenous immigrants black people and more i learned from people impacted by my words when will you httpstcoeqqtyjkine",non-antisemitic
on holocaustmemorialday weremember the millions of jews killed during the holocaust we also bring attention to� httpstcodqfqeqq,non-antisemitic
israel muslim paints �slaughter the jews� on western wall in jerusalem�s muslim quarter httpstcoeqjkbdfki,non-antisemitic
there is a horrific irony in brets bigoted oped that places jews at the top of an intellectual hierarchy one justification is jewish performance on iq tests the same iq tests developed by eugenicists the same eugenicists behind the holocaust httpstcouxqscnyv,non-antisemitic
"hi twitter twittersupport jack

is violence against jews and holocaust jokes acceptable on your platform

you� httpstcoocgihrj",non-antisemitic
hi seth historian of jews in thcentury europe here nice to meet you i don�t need a hug i need for our countr� httpstcoqwjbwuli,non-antisemitic
louisfarrakhan could give tips to jeremycorbyn who also likes to separate the good jews from the satanic ones httpstcoeuvsubgsdn,non-antisemitic
�a sad day for jews� belgium bans religious slaughter httpstcoyfzlyvuig,non-antisemitic
"these are jewish neighborhoods too historic ones and jews are being attacked there now daily

how selfabased is this guy who preens about leading a new and transformative �jewish left� httpstcoflvknxt",non-antisemitic
historic event brings portos jews and catholics together unprecedented meeting promotes dialogue and understanding between communities their heritage culture and religion httpstcowlqmietaid arutzsheva httpstcotkolhsktz,non-antisemitic
jews are waiting for the messiah christians are waiting for jesus and muslims are waiting for both the mahdi and� httpstcocfkfodetl,non-antisemitic
rt hananyanaftali watch palestinians uproot amp steal  trees that were planted by jews in memory of terror victim ori ansbacher who wa�,non-antisemitic
"things that will not free palestine vandalizing jewish houses of worship in america

things that remind jews why i� httpstcoymogpwyh",non-antisemitic
"rt teapainusa gestapo rounded up jews

ice rounds up brown people

neither were criminals

httpstcotllugzaf",non-antisemitic
"six million jews died through hatred and fear mongering of the nazis

never forget

never again

holocaustmemorialday ",non-antisemitic
maajidnawaz chsommers what a funny way of saying christians jews and muslims still hate each other,non-antisemitic
"jews are literally physically blockading ice facilities because we know they�re concentration camps

so maybe stop� httpstcotpjfeantc",non-antisemitic
did the missouri republican party blame jews when republican gov eric greitens got in trouble for tying up a naked� httpstcopqrvy,non-antisemitic
"jysexton i was thinking the exact same thing 

remember those who chanted  �jews will not replace us� and t�s d� httpstcozojwsfbu",non-antisemitic
kschnurbein�s german forefathers murdered jews by the millions in the name of german values today in name of �eu� httpstcoyxrdhwpuc,antisemitic
